created_at,entry_id,field1,field2,field3
2018-12-13 10:40:46 UTC,1,39.00000,14.00000,67.00000
2018-12-13 10:41:10 UTC,2,26.00000,10.00000,51.00000
2018-12-13 10:41:34 UTC,3,26.00000,9.00000,45.00000
2018-12-13 10:41:59 UTC,4,27.00000,8.00000,41.00000
2018-12-13 10:42:23 UTC,5,27.00000,8.00000,37.00000
2018-12-13 10:42:47 UTC,6,27.00000,8.00000,35.00000
2018-12-13 10:43:12 UTC,7,27.00000,7.00000,34.00000
2018-12-13 10:43:36 UTC,8,27.00000,7.00000,32.00000
2018-12-13 10:44:00 UTC,9,28.00000,6.00000,31.00000
2018-12-13 10:44:25 UTC,10,28.00000,6.00000,30.00000
2018-12-13 10:44:49 UTC,11,28.00000,6.00000,29.00000
2018-12-13 10:45:13 UTC,12,28.00000,6.00000,29.00000
2018-12-13 10:45:38 UTC,13,28.00000,6.00000,28.00000
2018-12-13 10:46:02 UTC,14,28.00000,6.00000,28.00000
2018-12-13 10:46:26 UTC,15,28.00000,6.00000,27.00000
2018-12-13 10:46:51 UTC,16,28.00000,6.00000,27.00000
2018-12-13 10:47:15 UTC,17,28.00000,6.00000,26.00000
2018-12-13 10:47:39 UTC,18,28.00000,5.00000,27.00000
2018-12-13 10:48:04 UTC,19,28.00000,5.00000,27.00000
2018-12-13 10:48:28 UTC,20,28.00000,5.00000,27.00000
2018-12-13 10:48:52 UTC,21,28.00000,6.00000,26.00000
2018-12-13 10:49:17 UTC,22,29.00000,6.00000,26.00000
2018-12-13 10:49:41 UTC,23,29.00000,5.00000,27.00000
2018-12-13 10:50:05 UTC,24,29.00000,5.00000,26.00000
2018-12-13 10:50:31 UTC,25,30.00000,5.00000,27.00000
2018-12-13 10:50:56 UTC,26,31.00000,5.00000,32.00000
2018-12-13 10:51:20 UTC,27,31.00000,5.00000,28.00000
2018-12-13 10:51:45 UTC,28,33.00000,5.00000,28.00000
2018-12-13 10:52:09 UTC,29,33.00000,5.00000,27.00000
2018-12-13 10:52:33 UTC,30,34.00000,5.00000,27.00000
2018-12-13 10:52:58 UTC,31,34.00000,5.00000,27.00000
2018-12-13 10:53:24 UTC,32,34.00000,5.00000,27.00000
2018-12-13 10:53:48 UTC,33,35.00000,5.00000,26.00000
2018-12-13 10:54:13 UTC,34,35.00000,5.00000,26.00000
2018-12-13 10:54:38 UTC,35,38.00000,5.00000,28.00000
2018-12-13 10:55:02 UTC,36,38.00000,5.00000,27.00000
2018-12-13 10:55:27 UTC,37,39.00000,5.00000,27.00000
2018-12-13 10:55:51 UTC,38,39.00000,5.00000,27.00000
2018-12-13 10:56:17 UTC,39,39.00000,5.00000,27.00000
2018-12-13 10:56:42 UTC,40,39.00000,5.00000,26.00000
2018-12-13 10:57:06 UTC,41,39.00000,5.00000,27.00000
2018-12-13 10:57:30 UTC,42,39.00000,5.00000,26.00000
2018-12-13 10:57:55 UTC,43,39.00000,5.00000,26.00000
2018-12-13 10:58:19 UTC,44,39.00000,5.00000,26.00000
2018-12-13 10:58:44 UTC,45,39.00000,5.00000,26.00000
2018-12-13 10:59:09 UTC,46,39.00000,5.00000,26.00000
2018-12-13 10:59:33 UTC,47,39.00000,5.00000,26.00000
2018-12-13 10:59:57 UTC,48,39.00000,5.00000,27.00000
2018-12-13 11:00:22 UTC,49,39.00000,5.00000,27.00000
2018-12-13 11:00:46 UTC,50,39.00000,5.00000,26.00000
2018-12-13 11:01:10 UTC,51,39.00000,5.00000,26.00000
2018-12-13 11:01:35 UTC,52,39.00000,5.00000,26.00000
